,mac,rssi,timestamp,name,seq,scanner_ip
0,b0:f8:93:51:65:34,-77,1741727772618,XBLOOM 45D008,36767,10.26.2.134
1,79:92:7e:cb:3f:eb,-67,1741727772729,Unknown,37257,10.26.2.166
2,b0:f8:93:51:65:34,-84,1741727773223,XBLOOM 45D008,35814,10.26.2.131
3,5b:c6:bf:32:be:cc,-70,1741727772662,Unknown,35989,10.26.2.133
4,79:92:7e:cb:3f:eb,-66,1741727773228,Unknown,35815,10.26.2.131
5,79:92:7e:cb:3f:eb,-60,1741727772623,Unknown,36768,10.26.2.134
6,57:58:9d:76:05:c3,-58,1741727772627,Unknown,36769,10.26.2.134
7,79:92:7e:cb:3f:eb,-69,1741727772668,Unknown,35990,10.26.2.133
8,49:cd:60:a6:b1:c5,-58,1741727772650,Unknown,36770,10.26.2.134
9,b0:f8:93:51:65:34,-77,1741727772618,XBLOOM 45D008,36767,10.26.2.134
10,79:92:7e:cb:3f:eb,-67,1741727772729,Unknown,37257,10.26.2.166
11,79:03:7c:09:8f:9c,-69,1741727772651,Unknown,36771,10.26.2.134
12,5b:c6:bf:32:be:cc,-70,1741727772662,Unknown,35989,10.26.2.133
13,79:92:7e:cb:3f:eb,-66,1741727773228,Unknown,35815,10.26.2.131
14,57:58:9d:76:05:c3,-67,1741727772733,Unknown,37258,10.26.2.166
15,79:92:7e:cb:3f:eb,-60,1741727772623,Unknown,36768,10.26.2.134
16,77:bc:a9:66:ff:e2,-54,1741727773042,Unknown,35798,10.26.2.196
17,53:df:41:06:3b:b4,-72,1741727773051,Unknown,35799,10.26.2.196
18,4c:4f:28:51:aa:5c,-65,1741727773055,Unknown,35800,10.26.2.196
19,7f:5c:7c:60:b2:fa,-85,1741727772670,Unknown,35991,10.26.2.133
20,65:cb:df:35:93:7a,-55,1741727772673,Unknown,35992,10.26.2.133
21,58:bc:2f:43:e2:89,-68,1741727773057,Unknown,35801,10.26.2.196
22,7f:5c:7c:60:b2:fa,-84,1741727773231,Unknown,35816,10.26.2.131
23,57:58:9d:76:05:c3,-62,1741727772676,Unknown,35993,10.26.2.133
24,41:88:49:13:56:ce,-71,1741727773083,Unknown,35802,10.26.2.196
25,80:c3:ba:12:24:67,-75,1741727773236,Unknown,35817,10.26.2.131
26,80:c3:ba:12:24:13,-71,1741727773085,Unknown,35803,10.26.2.196
27,49:cd:60:a6:b1:c5,-62,1741727772688,Unknown,35994,10.26.2.133
28,b0:f8:93:51:65:34,-78,1741727773090,Unknown,35804,10.26.2.196
29,79:92:7e:cb:3f:eb,-67,1741727773091,Unknown,35805,10.26.2.196
30,c1:06:9c:02:4d:2d,-83,1741727773246,Unknown,35818,10.26.2.131
31,80:c3:ba:12:24:67,-70,1741727773097,Unknown,35806,10.26.2.196
32,2a:bd:62:8e:84:bf,-82,1741727773248,Unknown,35819,10.26.2.131
33,c1:06:9c:02:4d:2d,-80,1741727773107,Unknown,35807,10.26.2.196
34,2a:bd:62:8e:84:bf,-87,1741727773109,Unknown,35808,10.26.2.196
35,49:cd:60:a6:b1:c5,-69,1741727772761,Unknown,37259,10.26.2.166
36,49:cd:60:a6:b1:c5,-78,1741727773325,Unknown,35820,10.26.2.131
37,79:03:7c:09:8f:9c,-70,1741727772766,Unknown,35995,10.26.2.133
38,7d:ef:fe:22:87:51,-66,1741727772773,Unknown,35996,10.26.2.133
39,6b:39:48:3c:55:5b,-77,1741727773194,Unknown,35809,10.26.2.196
40,51:02:11:6a:65:e4,-86,1741727773213,Unknown,35810,10.26.2.196
41,7d:ef:fe:22:87:51,-58,1741727772728,Unknown,36772,10.26.2.134
42,7d:ef:fe:22:87:51,-69,1741727772833,Unknown,37260,10.26.2.166
43,49:cd:60:a6:b1:c5,-78,1741727773325,Unknown,35820,10.26.2.131
44,a8:a2:37:7c:50:11,-88,1741727772754,[LG] webOS TV UQ8000AUB,36773,10.26.2.134
45,6b:39:48:3c:55:5b,-65,1741727773329,Unknown,35821,10.26.2.131
46,51:02:11:6a:65:e4,-84,1741727772864,Unknown,37261,10.26.2.166
47,7d:ef:fe:22:87:51,-56,1741727773332,Unknown,35822,10.26.2.131
48,40:bb:ce:a2:7b:fe,-82,1741727773335,3d0dc6dc,35823,10.26.2.131
49,0d:a9:71:38:df:68,-87,1741727772931,Unknown,37262,10.26.2.166
50,79:9b:16:0b:1e:30,-65,1741727773440,Unknown,35824,10.26.2.131
51,79:03:7c:09:8f:9c,-62,1741727772952,Unknown,37263,10.26.2.166
52,4c:13:81:7b:36:5e,-86,1741727772953,Unknown,37264,10.26.2.166
53,79:03:7c:09:8f:9c,-74,1741727773444,Unknown,35825,10.26.2.131
54,22:92:d6:bc:87:84,-91,1741727773446,Unknown,35826,10.26.2.131
55,44:5e:cd:0f:db:41,-76,1741727772869,Razer Stereo,35997,10.26.2.133
56,79:9b:16:0b:1e:30,-61,1741727772871,Unknown,35998,10.26.2.133
57,4c:13:81:7b:36:5e,-89,1741727773451,Unknown,35827,10.26.2.131
58,4c:13:81:7b:36:5e,-86,1741727772953,Unknown,37264,10.26.2.166
59,79:03:7c:09:8f:9c,-74,1741727773444,Unknown,35825,10.26.2.131
60,4c:4f:28:51:aa:5c,-63,1741727772826,Unknown,36774,10.26.2.134
61,22:92:d6:bc:87:84,-91,1741727773446,Unknown,35826,10.26.2.131
62,44:5e:cd:0f:db:41,-76,1741727772869,Razer Stereo,35997,10.26.2.133
63,79:9b:16:0b:1e:30,-59,1741727773295,Unknown,35811,10.26.2.196
64,79:9b:16:0b:1e:30,-61,1741727772871,Unknown,35998,10.26.2.133
65,4c:13:81:7b:36:5e,-89,1741727773451,Unknown,35827,10.26.2.131
66,79:9b:16:0b:1e:30,-59,1741727773295,Unknown,35811,10.26.2.196
67,4c:4f:28:51:aa:5c,-63,1741727772826,Unknown,36774,10.26.2.134
68,79:03:7c:09:8f:9c,-60,1741727773394,Unknown,35812,10.26.2.196
69,2d:33:0c:90:44:01,-94,1741727773042,Unknown,37265,10.26.2.166
70,2d:33:0c:90:44:01,-87,1741727773397,Unknown,35813,10.26.2.196
71,2d:33:0c:90:44:01,-83,1741727772981,Unknown,35999,10.26.2.133
72,4a:0a:0a:7e:8e:17,-92,1741727773402,Unknown,35814,10.26.2.196
73,80:c3:ba:12:24:13,-69,1741727773540,Unknown,35828,10.26.2.131
74,53:18:3d:ff:31:f6,-76,1741727773543,Unknown,35829,10.26.2.131
75,53:18:3d:ff:31:f6,-56,1741727772983,Unknown,36000,10.26.2.133
76,6e:b6:12:49:04:9c,-91,1741727772989,Unknown,36001,10.26.2.133
77,57:9a:5b:84:96:c1,-69,1741727772990,Unknown,36002,10.26.2.133
78,53:18:3d:ff:31:f6,-70,1741727773404,Unknown,35815,10.26.2.196
79,44:5e:cd:0f:db:41,-70,1741727773049,Razer Stereo,37266,10.26.2.166
